x,y,stimulus,gender,blank_loop.thisRepN,blank_loop.thisTrialN,blank_loop.thisN,blank_loop.thisIndex,scrambled_loop.thisRepN,scrambled_loop.thisTrialN,scrambled_loop.thisN,scrambled_loop.thisIndex,happy_loop.thisRepN,happy_loop.thisTrialN,happy_loop.thisN,happy_loop.thisIndex,sad_loop.thisRepN,sad_loop.thisTrialN,sad_loop.thisN,sad_loop.thisIndex,angry_loop.thisRepN,angry_loop.thisTrialN,angry_loop.thisN,angry_loop.thisIndex,neutral_loop.thisRepN,neutral_loop.thisTrialN,neutral_loop.thisN,neutral_loop.thisIndex,happy_loop2.thisRepN,happy_loop2.thisTrialN,happy_loop2.thisN,happy_loop2.thisIndex,sad_loop2.thisRepN,sad_loop2.thisTrialN,sad_loop2.thisN,sad_loop2.thisIndex,angry_loop2.thisRepN,angry_loop2.thisTrialN,angry_loop2.thisN,angry_loop2.thisIndex,netral_2.thisRepN,netral_2.thisTrialN,netral_2.thisN,netral_2.thisIndex,scrambled_loop2.thisRepN,scrambled_loop2.thisTrialN,scrambled_loop2.thisN,scrambled_loop2.thisIndex,blank_loop2.thisRepN,blank_loop2.thisTrialN,blank_loop2.thisN,blank_loop2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate,
-0.4,0.0,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,3.07913183507344,,,,,,,,,,,01-pablo,001,2019_Aug_14_1903,emofaces,3.0.1,63.96643997493885,
0.2,-0.4,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.927288267563199,,,,,,,,,,,01-pablo,001,2019_Aug_14_1903,emofaces,3.0.1,63.96643997493885,
0.2,0.0,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.5476489116967969,,,,,,,,,,,01-pablo,001,2019_Aug_14_1903,emofaces,3.0.1,63.96643997493885,
-0.2,-0.4,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.5164409838967003,,,,,,,,,,,01-pablo,001,2019_Aug_14_1903,emofaces,3.0.1,63.96643997493885,
-0.4,0.2,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.6258754202794989,,,,,,,,,,,01-pablo,001,2019_Aug_14_1903,emofaces,3.0.1,63.96643997493885,
-0.2,-0.2,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.48542806582918274,,,,,,,,,,,01-pablo,001,2019_Aug_14_1903,emofaces,3.0.1,63.96643997493885,
,,POFA/fMRI_POFA/021c.tif,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.4075724650501797,,,,,,,,,01-pablo,001,2019_Aug_14_1903,emofaces,3.0.1,63.96643997493885,
,,POFA/fMRI_POFA/072c.tif,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,2.220479561139655,,,,,,,,,01-pablo,001,2019_Aug_14_1903,emofaces,3.0.1,63.96643997493885,
,,POFA/fMRI_POFA/013c.tif,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,3.0641125464521792,,,,,,,,,01-pablo,001,2019_Aug_14_1903,emofaces,3.0.1,63.96643997493885,
,,POFA/fMRI_POFA/033c.tif,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,3.5795016811184723,,,,,,,,,01-pablo,001,2019_Aug_14_1903,emofaces,3.0.1,63.96643997493885,
,,POFA/fMRI_POFA/083c.tif,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,2.7514864625732116,,,,,,,,,01-pablo,001,2019_Aug_14_1903,emofaces,3.0.1,63.96643997493885,
