stimulus,gender,x,y,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
POFA/fMRI_POFA/008a.tif,f,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.5481337816318046,,,,,,,,,,,01-pablo,001,2019_Aug_14_1914,emofaces2,3.0.1,64.12133012886152,
POFA/fMRI_POFA/036a.tif,m,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,01-pablo,001,2019_Aug_14_1914,emofaces2,3.0.1,64.12133012886152,
POFA/fMRI_POFA/086a.tif,f,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.2201925322951865,,,,,,,,,,,01-pablo,001,2019_Aug_14_1914,emofaces2,3.0.1,64.12133012886152,
POFA/fMRI_POFA/049a.tif,f,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,2.0797575650331055,,,,,,,,,,,01-pablo,001,2019_Aug_14_1914,emofaces2,3.0.1,64.12133012886152,
POFA/fMRI_POFA/023a.tif,m,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,01-pablo,001,2019_Aug_14_1914,emofaces2,3.0.1,64.12133012886152,
POFA/fMRI_POFA/075a.tif,m,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,01-pablo,001,2019_Aug_14_1914,emofaces2,3.0.1,64.12133012886152,
POFA/fMRI_POFA/021a.tif,m,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.5482183684302981,,,,,,,,,01-pablo,001,2019_Aug_14_1914,emofaces2,3.0.1,64.12133012886152,
POFA/fMRI_POFA/013a.tif,f,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.2673024243495092,,,,,,,,,01-pablo,001,2019_Aug_14_1914,emofaces2,3.0.1,64.12133012886152,
POFA/fMRI_POFA/033a.tif,m,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.9079009024953848,,,,,,,,,01-pablo,001,2019_Aug_14_1914,emofaces2,3.0.1,64.12133012886152,
POFA/fMRI_POFA/006a.tif,f,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.5795827287201973,,,,,,,,,01-pablo,001,2019_Aug_14_1914,emofaces2,3.0.1,64.12133012886152,
POFA/fMRI_POFA/083a.tif,m,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.751574234648615,,,,,,,,,01-pablo,001,2019_Aug_14_1914,emofaces2,3.0.1,64.12133012886152,
POFA/fMRI_POFA/072a.tif,f,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.0798460449477716,,,,,,,,,01-pablo,001,2019_Aug_14_1914,emofaces2,3.0.1,64.12133012886152,
