x,y,stimulus,gender,blank_loop.thisRepN,blank_loop.thisTrialN,blank_loop.thisN,blank_loop.thisIndex,scrambled_loop.thisRepN,scrambled_loop.thisTrialN,scrambled_loop.thisN,scrambled_loop.thisIndex,happy_loop.thisRepN,happy_loop.thisTrialN,happy_loop.thisN,happy_loop.thisIndex,sad_loop.thisRepN,sad_loop.thisTrialN,sad_loop.thisN,sad_loop.thisIndex,angry_loop.thisRepN,angry_loop.thisTrialN,angry_loop.thisN,angry_loop.thisIndex,neutral_loop.thisRepN,neutral_loop.thisTrialN,neutral_loop.thisN,neutral_loop.thisIndex,happy_loop2.thisRepN,happy_loop2.thisTrialN,happy_loop2.thisN,happy_loop2.thisIndex,sad_loop2.thisRepN,sad_loop2.thisTrialN,sad_loop2.thisN,sad_loop2.thisIndex,angry_loop2.thisRepN,angry_loop2.thisTrialN,angry_loop2.thisN,angry_loop2.thisIndex,netral_2.thisRepN,netral_2.thisTrialN,netral_2.thisN,netral_2.thisIndex,scrambled_loop2.thisRepN,scrambled_loop2.thisTrialN,scrambled_loop2.thisN,scrambled_loop2.thisIndex,blank_loop2.thisRepN,blank_loop2.thisTrialN,blank_loop2.thisN,blank_loop2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate,
-0.4,0.0,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.0016050307749538,,,,,,,,,,,fernando1,001,2019_Nov_21_2030,emofaces,3.0.1,63.87657798847037,
-0.2,-0.4,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.4851946086419048,,,,,,,,,,,fernando1,001,2019_Nov_21_2030,emofaces,3.0.1,63.87657798847037,
-0.4,0.2,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.5946523984748637,,,,,,,,,,,fernando1,001,2019_Nov_21_2030,emofaces,3.0.1,63.87657798847037,
0.0,0.2,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.672732279097545,,,,,,,,,,,fernando1,001,2019_Nov_21_2030,emofaces,3.0.1,63.87657798847037,
0.0,0.4,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.7039420759101631,,,,,,,,,,,fernando1,001,2019_Nov_21_2030,emofaces,3.0.1,63.87657798847037,
-0.2,-0.2,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.39148558604938444,,,,,,,,,,,fernando1,001,2019_Nov_21_2030,emofaces,3.0.1,63.87657798847037,
0.2,0.0,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.438317800333607,,,,,,,,,,,fernando1,001,2019_Nov_21_2030,emofaces,3.0.1,63.87657798847037,
0.2,-0.4,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.7822113041620469,,,,,,,,,,,fernando1,001,2019_Nov_21_2030,emofaces,3.0.1,63.87657798847037,
0.4,-0.2,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.6258041522669373,,,,,,,,,,,fernando1,001,2019_Nov_21_2030,emofaces,3.0.1,63.87657798847037,
0.4,0.4,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.6884435307001695,,,,,,,,,,,fernando1,001,2019_Nov_21_2030,emofaces,3.0.1,63.87657798847037,
