x,y,stimulus,gender,blank_loop.thisRepN,blank_loop.thisTrialN,blank_loop.thisN,blank_loop.thisIndex,scrambled_loop.thisRepN,scrambled_loop.thisTrialN,scrambled_loop.thisN,scrambled_loop.thisIndex,happy_loop.thisRepN,happy_loop.thisTrialN,happy_loop.thisN,happy_loop.thisIndex,sad_loop.thisRepN,sad_loop.thisTrialN,sad_loop.thisN,sad_loop.thisIndex,angry_loop.thisRepN,angry_loop.thisTrialN,angry_loop.thisN,angry_loop.thisIndex,neutral_loop.thisRepN,neutral_loop.thisTrialN,neutral_loop.thisN,neutral_loop.thisIndex,happy_loop2.thisRepN,happy_loop2.thisTrialN,happy_loop2.thisN,happy_loop2.thisIndex,sad_loop2.thisRepN,sad_loop2.thisTrialN,sad_loop2.thisN,sad_loop2.thisIndex,angry_loop2.thisRepN,angry_loop2.thisTrialN,angry_loop2.thisN,angry_loop2.thisIndex,netral_2.thisRepN,netral_2.thisTrialN,netral_2.thisN,netral_2.thisIndex,scrambled_loop2.thisRepN,scrambled_loop2.thisTrialN,scrambled_loop2.thisN,scrambled_loop2.thisIndex,blank_loop2.thisRepN,blank_loop2.thisTrialN,blank_loop2.thisN,blank_loop2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate
0.4,-0.2,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.7043190109534407,,,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
-0.2,-0.2,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.35979830883570685,,,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
0.2,0.0,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.4059443469986945,,,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
0.2,-0.4,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.48429096643849334,,,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
-0.4,0.2,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.6262721606162813,,,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
0.0,0.4,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.03192770998975902,,,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
0.0,0.2,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.15609547026633663,,,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
0.4,0.4,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.673397491707874,,,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
-0.2,-0.4,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.2188466640336628,,,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
-0.4,0.0,,,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.6410985210450235,,,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
,,POFA/fMRI_POFA/013c.tif,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
,,POFA/fMRI_POFA/021c.tif,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.7501797906779757,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
,,POFA/fMRI_POFA/033c.tif,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.3905446383450908,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
,,POFA/fMRI_POFA/083c.tif,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.469090513989613,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
,,POFA/fMRI_POFA/006c.tif,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.7816732424753354,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
,,POFA/fMRI_POFA/006c.tif,,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,10-rosa,1,2020_Feb_25_1901,emofaces,3.0.1,63.90368901114253
