stimulus,gender,x,y,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,participant,session,date,expName,psychopyVersion,frameRate,
POFA/fMRI_POFA/033c.tif,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/006c.tif,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.8133674558630446,,,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/006c.tif,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/021c.tif,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.5999669439479476,,,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/021c.tif,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/072c.tif,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.4236107965261908,,,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/083c.tif,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.4078472371766111,,,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/033c.tif,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.3610460293130018,,,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/013c.tif,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/013c.tif,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/049a.tif,f,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,2.3371440988994436,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/094a.tif,f,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.7672847038920736,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/008a.tif,f,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.5320073869952466,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/058a.tif,f,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.5631154654256534,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/002a.tif,f,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.6109784307482187,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/067a.tif,f,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.376528222928755,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/015a.tif,m,,,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/023a.tif,m,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/086a.tif,f,,,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.9858765020471765,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/033a-sad.tif,m,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/084a.tif,f,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.508192874622182,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/057a.tif,f,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.548396321493783,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/048a.tif,f,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.5172822264576098,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/007a.tif,f,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.3140491041704081,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/093a.tif,f,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.6422418796864804,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/101a.tif,m,,,,,,,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.0171470293425955,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/001a.tif,f,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.9228930484678131,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/066a.tif,f,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.7045797846949426,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/014a.tif,m,,,,,,,,,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.6110580625681905,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/042a.tif,f,,,,,,,,,,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.5639680566819152,,,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
POFA/fMRI_POFA/083a.tif,m,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.6017899815487908,,,,,11-laura,001,2020_Mar_12_2111,emofaces5,3.0.1,64.11938374311917,
