x,y,stimulus,gender,blank_loop.thisRepN,blank_loop.thisTrialN,blank_loop.thisN,blank_loop.thisIndex,scrambled_loop.thisRepN,scrambled_loop.thisTrialN,scrambled_loop.thisN,scrambled_loop.thisIndex,happy_loop.thisRepN,happy_loop.thisTrialN,happy_loop.thisN,happy_loop.thisIndex,sad_loop.thisRepN,sad_loop.thisTrialN,sad_loop.thisN,sad_loop.thisIndex,angry_loop.thisRepN,angry_loop.thisTrialN,angry_loop.thisN,angry_loop.thisIndex,neutral_loop.thisRepN,neutral_loop.thisTrialN,neutral_loop.thisN,neutral_loop.thisIndex,happy_loop2.thisRepN,happy_loop2.thisTrialN,happy_loop2.thisN,happy_loop2.thisIndex,sad_loop2.thisRepN,sad_loop2.thisTrialN,sad_loop2.thisN,sad_loop2.thisIndex,angry_loop2.thisRepN,angry_loop2.thisTrialN,angry_loop2.thisN,angry_loop2.thisIndex,netral_2.thisRepN,netral_2.thisTrialN,netral_2.thisN,netral_2.thisIndex,scrambled_loop2.thisRepN,scrambled_loop2.thisTrialN,scrambled_loop2.thisN,scrambled_loop2.thisIndex,blank_loop2.thisRepN,blank_loop2.thisTrialN,blank_loop2.thisN,blank_loop2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate,
-0.4,0.0,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.6574861086537567,,,,,,,,,,,12-paulina,001,2020_Mar_17_1846,emofaces,3.0.1,64.08555324946002,
0.2,-0.4,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.5008886922669262,,,,,,,,,,,12-paulina,001,2020_Mar_17_1846,emofaces,3.0.1,64.08555324946002,
0.0,0.4,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.40711307733090507,,,,,,,,,,,12-paulina,001,2020_Mar_17_1846,emofaces,3.0.1,64.08555324946002,
-0.2,-0.2,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.36023606441267475,,,,,,,,,,,12-paulina,001,2020_Mar_17_1846,emofaces,3.0.1,64.08555324946002,
-0.4,0.2,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.28203149885030143,,,,,,,,,,,12-paulina,001,2020_Mar_17_1846,emofaces,3.0.1,64.08555324946002,
0.4,-0.2,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.31345956467885117,,,,,,,,,,,12-paulina,001,2020_Mar_17_1846,emofaces,3.0.1,64.08555324946002,
0.2,0.0,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.3138067598647467,,,,,,,,,,,12-paulina,001,2020_Mar_17_1846,emofaces,3.0.1,64.08555324946002,
0.4,0.4,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.36027110245959193,,,,,,,,,,,12-paulina,001,2020_Mar_17_1846,emofaces,3.0.1,64.08555324946002,
-0.2,-0.4,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.2977179260315097,,,,,,,,,,,12-paulina,001,2020_Mar_17_1846,emofaces,3.0.1,64.08555324946002,
0.0,0.2,,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.3446912050967512,,,,,,,,,,,12-paulina,001,2020_Mar_17_1846,emofaces,3.0.1,64.08555324946002,
